ts,gross_return,net_return_20bps,spot_price_pnl,perp_price_pnl,funding_pnl,spot_turnover,perp_turnover,total_turnover,gross_exposure
2024-10-03 08:00:00,-4.2468679131438275e-05,-4.2468679131438275e-05,0.00032664537670345193,-0.0003852167481425825,1.610269230769231e-05,0.0,0.0,0.0,0.9999999999999998
2024-10-03 16:00:00,-2.717678909247328e-05,-2.717678909247328e-05,-0.002327769775682635,0.0022908818327440077,9.711153846153845e-06,0.0,0.0,0.0,0.9999999999999998
2024-10-04 00:00:00,-3.5650557277610925e-05,-3.5650557277610925e-05,0.005351833388629319,-0.005392618561291545,5.134615384615383e-06,0.0,0.0,0.0,0.9999999999999998
2024-10-04 08:00:00,9.436297280573247e-05,9.436297280573247e-05,0.008180348810894689,-0.008101620838088956,1.5635000000000002e-05,0.0,0.0,0.0,0.9999999999999998
2024-10-04 16:00:00,2.221507121190444e-05,2.221507121190444e-05,0.007143011449101455,-0.0071311606086587815,1.036423076923077e-05,0.0,0.0,0.0,0.9999999999999998
2024-10-05 00:00:00,5.067938101896063e-05,5.067938101896063e-05,0.0015465247048780258,-0.0015133287853975267,1.7483461538461544e-05,0.0,0.0,0.0,0.9999999999999998
2024-10-05 08:00:00,-2.313397360213859e-05,-2.313397360213859e-05,-0.00035241107394499234,0.0002970855618813153,3.2191538461538464e-05,0.0,0.0,0.0,0.9999999999999998
2024-10-05 16:00:00,-3.095604244454206e-05,-3.095604244454206e-05,0.0005732926594699647,-0.0006411571634529683,3.690846153846154e-05,0.0,0.0,0.0,0.9999999999999998
2024-10-06 00:00:00,0.00011552719518602815,0.00011552719518602815,-0.002996372036059292,0.0030659769235530125,4.5922307692307693e-05,0.0,0.0,0.0,0.9999999999999998
2024-10-06 08:00:00,-3.05062147877706e-05,-3.05062147877706e-05,0.0015599209191280226,-0.001633563287761947,4.313615384615385e-05,0.0,0.0,0.0,0.9999999999999998
